"","Year","Region","Windmax","NAO","SOI","SST","SSTmda","sun"
"1",1899,"Basin",96.6413819015095,-0.64,-0.21,0.0519336666666668,-0.0313333333333333,8.4
"2",1899,"East",90.1979087294842,-0.64,-0.21,0.0519336666666668,-0.0313333333333333,8.4
"3",1899,"Basin",90.353004693276,-0.64,-0.21,0.0519336666666668,-0.0313333333333333,8.4
"4",1899,"East",37.5193311220227,-0.64,-0.21,0.0519336666666668,-0.0313333333333333,8.4
"5",1899,"Basin",51.0674313507606,-0.64,-0.21,0.0519336666666668,-0.0313333333333333,8.4
"6",1899,"Basin",40,-0.64,-0.21,0.0519336666666668,-0.0313333333333333,8.4
"7",1899,"Gulf",35.4182172603225,-0.64,-0.21,0.0519336666666668,-0.0313333333333333,8.4
"8",1899,"Basin",105.563419209317,-0.64,-0.21,0.0519336666666668,-0.0313333333333333,8.4
"9",1899,"East",106.353178737058,-0.64,-0.21,0.0519336666666668,-0.0313333333333333,8.4
"10",1899,"US",35.4182172603225,-0.64,-0.21,0.0519336666666668,-0.0313333333333333,8.4
"11",1899,"Basin",35.4182172603225,-0.64,-0.21,0.0519336666666668,-0.0313333333333333,8.4
"12",1899,"Basin",56.4859349894332,-0.64,-0.21,0.0519336666666668,-0.0313333333333333,8.4
"13",1899,"US",51.0674313507606,-0.64,-0.21,0.0519336666666668,-0.0313333333333333,8.4
"14",1899,"Florida",87.3432761929422,-0.64,-0.21,0.0519336666666668,-0.0313333333333333,8.4
"15",1899,"Florida",51.0674313507606,-0.64,-0.21,0.0519336666666668,-0.0313333333333333,8.4
"16",1899,"US",90.1979087294842,-0.64,-0.21,0.0519336666666668,-0.0313333333333333,8.4
"17",1899,"Basin",87.3432761929422,-0.64,-0.21,0.0519336666666668,-0.0313333333333333,8.4
"18",1899,"Basin",131.269017255074,-0.64,-0.21,0.0519336666666668,-0.0313333333333333,8.4
"19",1899,"US",106.353178737058,-0.64,-0.21,0.0519336666666668,-0.0313333333333333,8.4
"20",1899,"US",87.3432761929422,-0.64,-0.21,0.0519336666666668,-0.0313333333333333,8.4
"21",1900,"US",40.3988705171584,-0.9,-0.996666666666667,-0.0533996666666674,-0.223666666666667,8.3
"22",1900,"Basin",128.12383715575,-0.9,-0.996666666666667,-0.0533996666666674,-0.223666666666667,8.3
"23",1900,"Basin",85.4280819860298,-0.9,-0.996666666666667,-0.0533996666666674,-0.223666666666667,8.3
"24",1900,"Basin",45.5345362524092,-0.9,-0.996666666666667,-0.0533996666666674,-0.223666666666667,8.3
"25",1900,"Gulf",128.12383715575,-0.9,-0.996666666666667,-0.0533996666666674,-0.223666666666667,8.3
"26",1900,"Basin",105.37382051292,-0.9,-0.996666666666667,-0.0533996666666674,-0.223666666666667,8.3
"27",1900,"Basin",40.5584178543928,-0.9,-0.996666666666667,-0.0533996666666674,-0.223666666666667,8.3
"28",1900,"US",40.0810253324419,-0.9,-0.996666666666667,-0.0533996666666674,-0.223666666666667,8.3
"29",1900,"Basin",45.5611053375879,-0.9,-0.996666666666667,-0.0533996666666674,-0.223666666666667,8.3
"30",1900,"Gulf",45,-0.9,-0.996666666666667,-0.0533996666666674,-0.223666666666667,8.3
"31",1900,"East",35.5706942960374,-0.9,-0.996666666666667,-0.0533996666666674,-0.223666666666667,8.3
"32",1900,"East",40.0810253324419,-0.9,-0.996666666666667,-0.0533996666666674,-0.223666666666667,8.3
"33",1900,"Florida",62.8483839005317,-0.9,-0.996666666666667,-0.0533996666666674,-0.223666666666667,8.3
